,lines,source_lines,blank_lines,docstring_lines,comment_lines,average_function_length,number_of_functions,source_files
urllib3,11354,7525,1769,1188,872,12,455,39
chardet,38062,36219,464,90,1289,1,128,43
matplotlib,155606,100212,19637,26797,8960,13,7205,228
schedule,839,550,103,170,16,9,50,1
tensorboardx,10360,7508,979,1371,502,6,256,41
pep517,1541,1039,255,179,68,11,82,11
py-cpuinfo,2822,1964,496,38,324,19,97,3
certbot,18049,10748,2409,3740,1152,13,853,68
flask-restplus,5253,3750,742,609,152,9,297,21
genson,840,626,145,48,21,5,76,10
soundfile,1511,735,111,637,28,9,56,1
django-timezone-field,297,208,45,21,23,8,17,7
scrapy-splash,1152,793,193,95,71,8,64,9
pickleshare,352,223,54,60,15,7,22,1
cachelib,934,700,119,96,19,6,81,7
json-log-formatter,202,159,16,23,4,8,7,1
cheroot,9494,6365,1376,1017,736,13,390,30
azure-keyvault-keys,57139,38761,6760,9255,2363,24,1383,112
resampy,397,120,57,195,25,19,5,5
pyppeteer,7644,5159,858,1492,135,9,404,25
orjson,1,1,0,0,0,0,0,1
rfc3987,639,314,74,205,46,10,10,1
behave,12850,8672,1404,1769,1005,8,661,51
polyline,100,59,25,15,1,5,8,2
azure-core,11925,7269,1360,1436,1860,8,611,66
flask-script,1191,831,206,123,31,12,46,4
django-crispy-forms,5869,4478,1065,180,146,12,290,25
lark-parser,8114,5813,1465,423,413,10,578,33
platformio,25398,19157,3592,35,2614,13,1303,169
googleads,5170,2473,554,1942,201,8,215,7
azureml-pipeline,1013,644,135,40,194,11,19,20
pyqt5,4698,2475,891,115,1217,11,244,38
zc-lockfile,326,169,43,75,39,5,24,2
probableparsing,30,26,4,0,0,4,2,1
openstacksdk,138341,89037,16583,17700,15021,13,6684,878
virtualenv,7463,5660,1352,234,217,8,633,100
autograd,3573,2885,495,73,120,7,325,38
tweepy,3828,2746,549,355,178,13,302,11
cookies,1169,753,117,164,135,8,53,1
diff-match-patch,7323,5115,665,680,863,36,133,7
pulp,8658,6467,878,735,578,16,410,29
basictracer,634,487,107,22,18,7,36,10
jsonlines,348,243,38,64,3,9,13,2
whichcraft,77,41,13,7,16,32,1,1
webcolors,784,432,103,90,159,9,22,1
safety,973,787,130,10,46,17,33,8
beautifulsoup4,9761,6841,746,1343,831,10,376,10
pmdarima,15275,8677,2172,2966,1460,46,476,109
cherrypy,28260,18590,4530,3091,2049,15,1156,105
os-service-types,994,531,153,131,179,4,64,13
paste,6052,4758,536,452,306,19,247,29
letsencrypt,8,3,4,1,0,0,0,1
brotlipy,696,492,72,77,55,8,16,3
pyphen,310,176,38,74,22,11,11,1
wget,628,411,80,81,56,25,12,1
certbot-apache,7076,4010,914,1629,523,10,314,24
python-swiftclient,8540,6480,815,850,395,36,236,10
tensorflow,729489,440367,67101,175320,46701,15,23615,1921
url-normalize,376,180,38,150,8,8,15,3
azureml-train-automl-client,10144,7145,1032,1511,456,31,193,39
graphframes,1265,792,142,197,134,9,77,8
azureml-automl-core,18315,13142,2612,1782,779,9,778,74
pint,21144,15360,3267,1766,751,10,1304,47
